State,2012-Democrat,2012-Republican,2012-Other Parties,2012-Total Votes,2008-Democrat,2008-Republican,2008-Other Parties,2008-Total Votes,2004-Democrat,2004-Republican,2004-Other Parties,2004-Total  Votes,2000-Democrat,2000-Republican,2000-Other Parties,2000-Total Votes
AL,795696,1255925,22717,2074338,813479,1266546,19794,2099819,"1,176,394","693,933",3970146,"1,883,415","941,173","692,611","3,517,199","1,666,272"
AK,122640,164676,10309,297625,123594,193841,8762,326197,"190,889","111,025",628111,"311,808","167,398","79,004","558,210","284,492"
AZ,1025232,1233654,40368,2299254,1034707,1230111,28657,2293475,"1,104,294","893,524",4291293,"2,012,585","781,652","685,341","3,479,578","1,532,016"
AR,394409,647744,27315,1069468,422310,638017,26290,1086617,"572,770","468,631",2128018,"1,053,694","472,940","422,768","1,949,402","921,781"
CA,7854285,4839958,344314,13038547,8274473,5011781,178241,13464495,"5,509,826","6,745,485",25719806,"12,419,857","4,567,429","5,861,203","22,848,489","10,965,856"
CO,1322998,1185050,61169,2569217,1288576,1073589,39196,2401361,"1,101,255","1,001,732",4504348,"2,130,330","883,748","738,227","3,752,305","1,741,368"
CT,905083,634892,18985,1558960,997763,629428,19592,1646783,"693,766","857,434",3197983,"1,578,662","561,104","816,659","2,956,425","1,460,177"
DE,242584,165484,5853,413921,255459,152374,4579,412412,"171,660","200,152",784224,"375,190","137,288","180,068","692,546","327,529"
DC,267070,21381,5313,293764,245800,17367,2686,265853,"21,256","202,970",490079,"227,586","18,073","171,923","417,582","201,894"
FL,4237756,4163447,72976,8474179,4282074,4045624,63046,8390744,"3,964,522","3,583,544",15938810,"7,609,810","2,912,790","2,912,253","13,434,853","5,963,070"
GA,1773827,2078688,45324,3897839,1844137,2048744,28812,3921693,"1,914,254","1,366,149",7202096,"3,298,790","1,419,720","1,116,230","5,834,740","2,583,208"
HI,306658,121015,7024,434697,325871,120566,7131,453568,"194,184","231,691",879443,"428,989","137,845","205,286","772,120","367,951"
ID,212787,420911,18576,652274,236440,403012,15580,655032,"409,235","181,098",1245365,"597,261","336,937","138,637","1,072,835","501,615"
IL,3019512,2135216,56229,5241179,3419673,2031527,62435,5513635,"2,346,608","2,891,989",10752232,"5,274,727","2,019,421","2,589,026","9,883,174","4,739,935"
IN,1152887,1420543,50479,2624534,1374039,1345648,31367,2751054,"1,479,438","969,011",5199503,"2,468,002","1,245,836","901,980","4,615,818","2,199,302"
IA,822544,730617,21577,1574738,828940,682379,19067,1530386,"751,957","741,898",3024241,"1,505,814","634,373","638,517","2,778,704","1,314,395"
KS,440726,692634,25473,1158833,514765,699655,21381,1235801,"736,456","434,993",2407250,"1,187,709","622,332","399,276","2,209,317","1,072,216"
KY,679370,1087190,30652,1797212,751985,1048462,26173,1826620,"1,069,439","712,733",3608792,"1,795,882","872,520","638,923","3,307,325","1,547,106"
LA,809141,1152262,32662,1994065,782989,1148275,29497,1960761,"1,102,169","820,299",3883229,"1,943,106","927,871","792,344","3,663,321","1,765,656"
ME,401306,292276,17471,711053,421923,295273,13967,731163,"330,201","396,842",1458206,"740,748","286,616","319,951","1,347,315","651,790"
MD,1677844,971869,48826,2698539,1629467,959862,33220,2622549,"1,024,703","1,334,493",4981745,"2,384,206","813,724","1,143,888","4,341,818","2,021,987"
MA,1921290,1188314,51611,3161215,1904097,1108854,68034,3080985,"1,071,109","1,803,800",5955894,"2,905,360","878,502","1,616,487","5,400,349","2,698,994"
MI,2564569,2115256,51136,4730961,2872579,2048639,80548,5001766,"2,313,746","2,479,178",9794690,"4,839,247","1,953,139","2,170,418","8,962,804","4,232,501"
MN,1546167,1320225,59636,2926028,1573354,1275409,52110,2900873,"1,346,695","1,445,014",5692582,"2,825,866","1,109,659","1,168,266","5,103,791","2,438,685"
MS,562949,710746,11889,1285584,554662,724597,10606,1289865,"684,981","458,094",2432940,"1,152,145","572,844","404,614","2,129,603","994,184"
MO,1223796,1482440,51087,2757323,1441911,1445814,37480,2925205,"1,455,713","1,259,171",5640089,"2,731,364","1,189,924","1,111,138","5,032,426","2,359,892"
MT,201839,267928,14165,483932,231667,242763,15679,490109,"266,063","173,710",929882,"450,434","240,178","137,126","827,738","410,986"
NE,302081,475064,13517,790662,333319,452979,12146,798444,"512,814","254,328",1565586,"777,255","433,850","231,776","1,442,881","697,132"
NV,531373,463567,14208,1009148,533736,412827,15018,961581,"418,690","397,190",1777461,"825,899","301,575","279,978","1,407,452","605,655"
NH,369561,329918,8920,708399,384826,316534,6251,707611,"331,237","340,511",1379359,"676,227","273,559","266,348","1,216,134","567,795"
NJ,2122786,1478088,37625,3638499,2215422,1613207,39608,3868237,"1,668,003","1,911,430",7447670,"3,609,691","1,284,173","1,788,850","6,682,714","3,187,226"
NM,415335,335788,32634,783757,472422,346832,10904,830158,"376,930","370,942",1578030,"756,304","286,417","286,783","1,329,504","598,605"
NY**,4018385,2145628,488261,6652274,4610809,2409077,570665,7590551,"2,962,567","4,314,280",14867398,"7,448,266 3","2,403,374","4,107,697","6,511,071","6,821,999"
NC,2178391,2270395,45134,4493920,2142651,2128474,25722,4296847,"1,961,166","1,525,849",7783862,"3,498,746","1,631,163","1,257,692","6,387,601","2,914,990"
ND,124966,188320,9646,322932,141278,168601,6742,316621,"196,651","111,052",624324,"312,833 3","174,852","95,284","270,136","288,256"
OH,2827621,2661407,91803,5580831,2933388,2674491,90048,5697927,"2,859,764","2,741,165",11298856,"5,627,903","2,350,363","2,183,628","10,161,894","4,701,998"
OK,443547,891325,0,1334872,502496,960165,0,1462661,"959,792","503,966",2926419,"1,463,758","744,337","474,276","2,682,371","1,234,229"
OR,970488,754175,51332,1775995,1037291,738475,38485,1814251,"866,831","943,163",3624245,"1,827,826","713,577","720,342","3,261,745","1,530,549"
PA,2990274,2680434,70782,5741490,3276363,2651812,64209,5992384,"2,793,847","2,938,095",11724326,"5,765,764","2,281,127","2,485,967","10,532,858","4,912,185"
RI,279677,157204,9168,446049,296571,165391,9804,471766,"169,046","259,760",900572,"437,134 3","130,555","249,508","380,063","409,112"
SC,865941,1071645,26532,1964118,862449,1034896,23624,1920969,"937,974","661,699",3520642,"1,615,606","786,892","566,037","2,968,535","1,383,902"
SD,145039,210610,8166,363815,170924,203054,7997,381975,"232,584","149,244",763803,"388,215","190,700","118,804","697,719","316,269"
TN,960709,1462330,33799,2456838,1087437,1479178,33134,2599749,"1,384,375","1,036,477",5020601,"2,437,319","1,061,949","981,720","4,480,988","2,075,753"
TX,3308124,4569843,115884,7993851,3528633,4479328,69834,8077795,"4,526,917","2,832,704",15437416,"7,410,749","3,799,639","2,433,746","13,644,134","6,407,637"
